latitude,longitude,country,type,iso_code,bcm_2024,avg_temp_k,detection_frequency_2024,clear_obs_2024
9.873944,-63.312663,Venezuela,upstream,VEN,0.04863263746,1811.06,0.81068,206
9.381534,-64.568136,Venezuela,upstream,VEN,0.0008784002662,1907.08,0.0392157,204
9.371812,-64.501692,Venezuela,upstream,VEN,0.003771831147,1917.71,0.226804,194
9.222743,-64.50998,Venezuela,upstream,VEN,0.04569616334,1791.42,0.984211,190
9.629449,-63.98805,Venezuela,upstream,VEN,0.0438298996,1823.31,0.716279,215
9.233642,-64.301765,Venezuela,upstream,VEN,0.06743616926,1532.68,0.973118,186
9.10889,-64.14585,Venezuela,upstream,VEN,0.0022052175075,1850.27,0.183168,202
9.228455,-64.05909,Venezuela,upstream,VEN,0.08244435816,1729.75,0.978723,188
8.443337,-64.654131,Venezuela,upstream,VEN,0.014138283392,1766.52,0.915152,165
8.997161,-64.332127,Venezuela,upstream,VEN,0.003794022015,1762.95,0.133333,195
8.557879,-64.135028,Venezuela,upstream,VEN,0.22639939547,1761.44,1,182
8.528045,-64.071968,Venezuela,upstream,VEN,0.03965825124,1717.87,0.451087,184
9.589406,-63.855524,Venezuela,upstream,VEN,0.0007440016851,1969.6,0.0599078,217
9.623966,-63.772122,Venezuela,upstream,VEN,0.04459131642,1727.68,0.97861,187
9.664266,-63.76439,Venezuela,upstream,VEN,0.0004685237801,2050.9,0.0333333,210
9.697615,-63.714468,Venezuela,upstream,VEN,0.00015640951521,2110,0.0046729,214
9.691519,-63.691471,Venezuela,upstream,VEN,0.0003817856651,2077.89,0.028436,211
9.66012,-63.650079,Venezuela,upstream,VEN,0.03477978264,1947.45,0.878307,189
9.589962,-63.739383,Venezuela,upstream,VEN,0.00321297938,2053.69,0.185,200
9.569054,-63.71863,Venezuela,upstream,VEN,0.0003475189729,2098.18,0.0292683,205
9.184456,-63.914108,Venezuela,upstream,VEN,0.007779748473,1755.54,0.331683,202
9.380149,-63.776615,Venezuela,upstream,VEN,0.0006758264073,1755.38,0.056338,213
9.710092,-63.622739,Venezuela,upstream,VEN,0.0003860095618,2096.95,0.0231481,216
9.653313,-63.624401,Venezuela,upstream,VEN,0.8231843379,1736.34,1,209
9.70702,-63.588725,Venezuela,upstream,VEN,0.003693018342,2051.83,0.29064,203
9.751839,-63.539414,Venezuela,upstream,VEN,0.00004372041291,2161.56,0.00462963,216
9.644139,-63.539719,Venezuela,upstream,VEN,0.028901756331,1970.41,0.801047,191
9.659168,-63.475136,Venezuela,upstream,VEN,0.003698067058,2036.19,0.165877,211
9.564179,-63.631289,Venezuela,upstream,VEN,0.25143515623,1747.01,0.995305,213
9.710036,-63.456131,Venezuela,upstream,VEN,0.027933606332,1874.85,1,202
9.677208,-63.456554,Venezuela,upstream,VEN,0.0026042451248,1966.46,0.12963,216
9.700192,-63.423099,Venezuela,upstream,VEN,0.0025155638412,2036.84,0.113208,212
9.652301,-63.456615,Venezuela,upstream,VEN,0.0007385889919,2074.65,0.0322581,217
8.936247,-63.925065,Venezuela,upstream,VEN,0.03623715909,1740.58,0.822581,186
8.615258,-63.893404,Venezuela,upstream,VEN,0.008557691032,1873.93,0.448087,183
8.540729,-63.964024,Venezuela,upstream,VEN,0.024274490705,1742.5,0.710983,173
8.564044,-63.931025,Venezuela,upstream,VEN,0.0013532232001,1856.18,0.0777778,180
9.99781,-63.177465,Venezuela,upstream,VEN,0.0027108141266,2013.54,0.22381,210
9.397318,-63.006805,Venezuela,upstream,VEN,0.0006417328978,1881.12,0.0560748,214
8.674493,-63.258943,Venezuela,upstream,VEN,0.004235256311,1927.48,0.39779,181
8.691004,-63.230634,Venezuela,upstream,VEN,0.04249316398,1827.41,0.976608,171
8.615439,-63.107122,Venezuela,upstream,VEN,0.019612265656,1797.58,0.852632,190
8.727719,-62.909522,Venezuela,upstream,VEN,0.21185263573,1830.74,0.989796,196
8.349353,-62.851901,Venezuela,upstream,VEN,0.000688415909,1691.22,0.0545455,165
10.210724,-61.830248,Trinidad and Tobago,upstream,TTO,0.004090369903,1904.27,0.42723,213
10.226304,-61.622207,Trinidad and Tobago,upstream,TTO,0.0011994721861,1395.89,0.0140187,214
10.275881,-61.17971,Trinidad and Tobago,upstream,TTO,0.0022433705369,1871.73,0.170124,241
10.717918,-60.584991,Trinidad and Tobago,upstream,TTO,0.011831754005,1718.1,0.820513,156
10.141087,-60.993589,Trinidad and Tobago,upstream,TTO,0.016181956664,1835.19,0.780347,173
10.178075,-60.665201,Trinidad and Tobago,upstream,TTO,0.0018721901107,1729.84,0.117647,204
10.086621,-60.592762,Trinidad and Tobago,upstream,TTO,0.0017501638191,1705.69,0.156566,198
8.196893,-57.001756,Guyana,upstream,GUY,0.023223770717,1742.02,0.594444,180
8.012448,-56.990729,Guyana,upstream,GUY,0.029056211817,1653.65,0.845361,194
8.010971,-56.912806,Guyana,upstream,GUY,0.04093921616,1656.07,0.840659,182
5.763197,-55.149408,Suriname,refinery,SUR,0.008028427089,1851.78,0.48951,143
-0.410895,-77.071646,Ecuador,upstream,ECU,0.0005829681918,2015.85,0.046875,64
-0.009695,-76.92576,Ecuador,upstream,ECU,0.014319362049,1780.63,0.914894,47
-0.137964,-76.947301,Ecuador,upstream,ECU,0.01482297147,1934.14,0.84,50
-0.311572,-76.964909,Ecuador,upstream,ECU,0.017775178798,1832.15,0.759259,54
-0.334622,-76.952914,Ecuador,upstream,ECU,0.03130937745,1947.06,0.90566,53
-0.221862,-76.847225,Ecuador,upstream,ECU,0.05234667255,1868.81,0.980769,52
-0.292243,-76.870295,Ecuador,upstream,ECU,0.010906870328,1919.51,0.679245,53
-0.265275,-76.847341,Ecuador,upstream,ECU,0.008696589428,1991.82,0.596491,57
-0.307614,-76.856812,Ecuador,upstream,ECU,0.0373869161,1891.45,1,47
-0.33974,-76.829357,Ecuador,upstream,ECU,0.017218264329,1837.42,0.875,40
-0.107647,-76.789154,Ecuador,upstream,ECU,0.014834213669,1904.05,0.888889,63
-0.156332,-76.751484,Ecuador,upstream,ECU,0.011071775482,1871.45,0.622951,61
-0.326231,-76.807269,Ecuador,upstream,ECU,0.019784567766,1821.84,0.979592,49
-0.195115,-76.654222,Ecuador,refinery,ECU,0.05623711917,1796,1,51
-0.37444,-76.842724,Ecuador,upstream,ECU,0.011266121695,1789.5,0.483871,31
-0.394129,-76.822138,Ecuador,upstream,ECU,0.007720073824,2021.64,0.551724,29
-0.406016,-76.85771,Ecuador,upstream,ECU,0.019150601672,1929.59,0.954545,22
-0.468216,-76.900492,Ecuador,upstream,ECU,0.021845471249,1799.84,0.678571,56
-0.481945,-76.867784,Ecuador,upstream,ECU,0.012118738286,1963.54,0.701754,57
-0.48588,-76.903195,Ecuador,upstream,ECU,0.03123276612,1808.06,1,51
-0.515419,-76.844029,Ecuador,upstream,ECU,0.003519571465,1948.77,0.365854,41
-0.577757,-76.959147,Ecuador,upstream,ECU,0.004515225225,2000.98,0.352941,68
-0.569983,-76.90411,Ecuador,upstream,ECU,0.03962919177,1877.36,0.978723,47
-0.60605,-76.877413,Ecuador,upstream,ECU,0.005458865469,1979.87,0.352941,51
